1;Алг.и мод.выч. 778;Горбунов Э.А.;411 ГК;9:00-10:25
1;Дифференциальные уравнения;Пыркова О.А.;Актовый зал;10:45-12:10
1;Компьютерные технологии 778;Субботина А.Ю.;411 ГК;12:20-13:45
1;Компьютерные технологии 778;Субботина А.Ю.;411 ГК;13:55-15:20
1; ;;;
1; ;;;
1;Гармон.ан. 778;Агаханова Я.С.;410 ГК;9:00-10:25
2;Компьютерные технологии лекция;Лунев Д.В.;Актовый зал;10:45-12:10
2;Аналит.мех. 778;Маштаков Я.В.;410 ГК;12:20-13:45
2;Общая физика 778;Локшин Г.Р.;411 ГК;13:55-15:20
2; ;;;
2;Мера и интеграл Лебега;Гусев Н.А.;Актовый зал;17:05-18:30
2;Современные проблемы прикладной математики;ФУПоМ;Актовый зал;9:00-10:25
2;Современные проблемы прикладной математики;ФУПоМ;Актовый зал;10:45-12:10
3; ;;;
3; ;;;
3; ;;;
3; ;;;
3;Общая физика 778;Локшин Г.Р.;410 ГК;9:00-10:25
3;Общая физика: лаб.практикум 778;Лобачев В.В._Жуков С.С.;505 ГК;10:45-12:10
3;Общая физика: лаб.практикум 778;Лобачев В.В._Жуков С.С.;505 ГК;12:20-13:45
4;Гармонический анализ;Бесов О.В.;Актовый зал;13:55-15:20
4;Алгоритмы и модели вычислений;Тарасов С.П.;Актовый зал;15:30-16:55
4;Гармон.ан. 778;Агаханова Я.С.;202 НК;17:05-18:30
4;Общая физика: оптика;Аланакян Ю.Р.;Актовый зал;9:00-10:25
4;Дифф.ур. 778;Пыркова О.А.;202 НК;10:45-12:10
4;Доп. главы дискретного анализа;Гордеев Э.Н.;Актовый зал;12:20-13:45
4;Доп. главы дискретного анализа;Гордеев Э.Н.;Актовый зал;13:55-15:20
5;Аналитическая механика;Иванов А.П.;Актовый зал;15:30-16:55
5;Алг.и мод.выч. 778;Горбунов Э.А.;239 НК;17:05-18:30
